,1,2,3,4,5,6,1,2,3,4,5,6
0,MTWTFSS,MTWTFSS,MTWTFSS,XXXXXXS,MTWTFSX,MTWTFSS,MTWTFSX,XXXXXXS,,,,
0,07:05,09:50,10:50,18:10,18:13,19:09,20:20,20:20,,,,
1,07:09,09:54,10:54,18:14,18:17,19:13,20:24,20:24,,,,
2,07:12,09:57,10:57,18:17,18:20,19:16,20:27,20:27,,,,
3,07:15,10:00,11:00,18:20,18:25,19:19,20:30,20:30,,,,
4,07:18,10:03,11:03,18:23,,19:22,,20:33,,,,
5,07:21,10:06,11:06,18:26,,19:25,,20:36,,,,
6,07:23,10:08,11:08,18:28,,19:27,,20:38,,,,
7,07:25,10:10,11:10,18:30,18:32,19:29,20:39,20:39,,,,
8,07:28,10:13,11:13,18:33,,19:32,,20:43,,,,
9,07:31,10:16,11:16,18:36,18:37,19:35,20:46,20:46,,,,
10,07:34,10:19,11:19,18:39,,19:38,,20:49,,,,
11,07:37,10:22,11:22,18:42,,19:41,,20:52,,,,
12,07:40,10:25,11:25,18:45,,19:44,,20:55,,,,
13,07:42,10:27,11:27,18:47,,19:46,,20:57,,,,
14,07:45,10:30,11:30,18:50,,19:49,,21:00,,,,
15,07:48,10:33,11:33,18:53,,19:52,,21:03,,,,
16,07:51,10:36,11:36,18:56,,19:55,,21:06,,,,
17,08:00,10:47,11:45,19:05,18:53,20:04,21:05,21:15,,,,
18,08:05,10:52,11:50,,,20:13,21:10,21:20,,,,
19,08:08,10:55,11:53,,,20:16,21:13,21:23,,,,
20,08:12,10:59,11:57,,,20:20,21:17,21:27,,,,
21,08:16,11:03,12:01,,,20:24,21:21,21:31,,,,
22,08:20,11:07,12:05,,,20:28,21:25,21:35,,,,
23,08:23,11:10,12:08,,,20:31,21:28,21:38,,,,
24,08:25,11:12,12:10,,,20:33,21:30,21:40,,,,
25,08:30,11:17,12:15,,,20:38,21:35,21:45,,,,
26,08:35,11:22,12:20,,,20:43,21:40,21:50,,,,
27,08:50,11:40,12:33,19:33,19:33,21:00,22:00,22:00,,,,
28,08:57,11:47,12:40,,,21:07,,,,,,
29,09:02,11:52,12:45,,,21:12,,,,,,
30,09:07,11:57,12:50,19:40,19:40,21:17,22:10,22:10,,,,
31,09:11,12:01,12:54,,,21:21,,,,,,
32,09:18,12:08,13:01,19:50,19:50,21:28,22:20,22:20,,,,
33,09:27,12:17,13:10,,,21:37,,,,,,
34,09:32,12:22,13:15,20:00,20:00,21:42,22:30,22:30,,,,
35,09:34,12:24,13:17,20:02,20:02,21:44,22:32,22:32,,,,
36,10:05,12:45,13:45,20:40,20:40,22:15,23:05,23:05,,,,
